mid	profession	count	ambiguous1	level1	ambiguous2	level2	ambiguous3	level3
<http://rdf.freebase.com/ns/m.02h5h_t>	Cricket Player	202	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.04_jj5n>	Boxer	155	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.025698r>	Ice hockey player	107	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.02ktb_s>	Cyclist	68	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.0kqggl>	Golfer	51	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.02nvwb5>	Chess Player	50	1	sports	1	athlete	1	athlete
<http://rdf.freebase.com/ns/m.02kqgg2>	Australian Rules Footballer	50	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.02_6n0_>	Martial Artist	32	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.01xs041>	Mountaineer	21	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.02k84ns>	Cricket Bowler	20	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.025d8rl>	Tennis Player	15	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.025df57>	Tennis Tournament Champion	13	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.0cyvcch>	Drafted athlete	1	0	sports	0	athlete	0	athlete
<http://rdf.freebase.com/ns/m.01xljvt>	American football head coach	57	0	sports	0	coach	0	coach
<http://rdf.freebase.com/ns/m.01xrsjn>	Basketball Coach	48	0	sports	0	coach	0	coach
<http://rdf.freebase.com/ns/m.029fbpr>	Ice hockey coach	3	0	sports	0	coach	0	coach
<http://rdf.freebase.com/ns/m.0jsq5x1>	Sports team coach	3	0	sports	0	coach	0	coach
<http://rdf.freebase.com/ns/m.0514pdp>	Baseball Coach	1	0	sports	0	coach	0	coach
<http://rdf.freebase.com/ns/m.062z_1f>	Sports official	21	0	sports	0	other sports role	0	other sports role
<http://rdf.freebase.com/ns/m.02k84vs>	Cricket Umpire	10	0	sports	0	other sports role	0	other sports role
<http://rdf.freebase.com/ns/m.01xljxp>	Football team manager	9	0	sports	0	other sports role	0	other sports role
<http://rdf.freebase.com/ns/m.025672j>	Sports Team Owner	3	0	sports	0	other sports role	0	other sports role
<http://rdf.freebase.com/ns/m.025697_>	Baseball Manager	2	0	sports	0	other sports role	0	other sports role
<http://rdf.freebase.com/ns/m.04stv46>	Golf Course Architect	2	0	sports	0	other sports role	0	other sports role
