mid	name	image	num_active_days	active_fraction_before	active_fraction_after	max_smoothed_before	max_raw_before	mean_before	mean_after	mean_after_peak	peak_smoothed	peak_raw	peak_raw_day	time_till_half	time_till_half_thresh	natural_death	unnatural_death	gender	cause_of_death	age	notable_type
/m/05ws6gl	Malcolm_Todd	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Malcolm_Todd.png")	50	0.0888888888888889	0.0498614958448753	-7.80189740953921	-6.83416031919207	-7.82594865037829	-7.84657885253845	-7.8464902117353	-7.84739461977881	-7.74700175380241	11	0.533333333333333	0.563888888888889	0	0	Male		74	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05x08f5	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_05x08f5.png")	97	0.119777158774373	0.149584487534626	-7.67148770032321	-6.64024111719392	-7.78400074029223	-7.7775476037116	-7.78982526487442	-7.49410636156237	-6.76695346367968	2	0.408333333333333	0.136111111111111	0	0			90	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05x0cb4	Larry_Evans	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Larry_Evans.png")	84	0.0615942028985507	0.185595567867036	-7.71799039754956	-6.10631705219856	-7.81224544187826	-7.7003160634223	-7.74475660864745	-6.44737461016937	-5.59512890030795	3	0.286111111111111	0.0444444444444444	0	0	Male		78	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05x17f7	Pat_Derby	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Pat_Derby.png")	83	0.0444444444444444	0.185595567867036	-7.80420573883811	-6.93918383447367	-7.83866918024295	-7.73566351587219	-7.78813120947179	-6.36395264594655	-5.59707371831997	4	0.119444444444444	0.0638888888888889	1	0	Female	<http://rdf.freebase.com/ns/m.04km8yl>Throat Cancer	71	<http://rdf.freebase.com/ns/m.02_77lg>Organization founder
/m/05x1hnc	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_05x1hnc.png")	49	0.064066852367688	0.07202216066482	-7.79205194074649	-6.7438876873021	-7.82802230651817	-7.81615724811999	-7.84771722176871	-6.76780199545807	-6.25763147375839	0	0.0333333333333333	0.0194444444444444	1	0	Female	<http://rdf.freebase.com/ns/m.02y0js>Stroke	64	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05x2fs9	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_05x2fs9.png")	88	0.0888888888888889	0.155555555555556	-7.74772827516236	-6.29587031854618	-7.80391807983284	-7.75598970610354	-7.76059302868294	-7.69553850512301	-7.00113842105876	7	0.741666666666667	0.847222222222222	0	0			68	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05x2g_x	Katie_Stewart	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Katie_Stewart.png")	247	0.233333333333333	0.451523545706371	-7.67512829188022	-6.77573107265408	-7.72271203638737	-7.63189452456948	-7.66594840887089	-7.14490287527355	-6.36499994066056	16	0.147222222222222	0.0805555555555556	0	0	Female		79	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05x3ww_	Joe_Gores	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Joe_Gores.png")	242	0.246376811594203	0.483333333333333	-7.50818182113676	-5.93232254705059	-7.61990046826401	-7.43160745644188	-7.47491878819182	-6.3549378395485	-5.38626534990065	4	0.241666666666667	0.158333333333333	0	0	Male		80	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05x663v	Stoo_Hample	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Stoo_Hample.png")	29	0.0253623188405797	0.0609418282548476	-7.7880724648424	-5.68636202312889	-7.84596649866141	-7.79629895998424	-7.84330158856529	-6.45801270198594	-5.88313490068353	6	0.0361111111111111	0.0277777777777778	0	0	Male		84	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05x6xqg	Jean_Saunders	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Jean_Saunders.png")	23	0.0333333333333333	0.0305555555555556	-7.81551847121737	-6.71306515465145	-7.84027206272509	-7.84568809267471	-7.85164042230048	-7.76771156936566	-6.65536870356277	1	0.227777777777778	0.116666666666667	0	0	Female		79	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05x7jwh	Bill_Peach	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Bill_Peach.png")	81	0.075	0.149584487534626	-7.81527190221668	-7.03261760259627	-7.83736340862421	-7.77210161952984	-7.8093297347402	-6.55621274199197	-5.26503460234188	0	0.108333333333333	0.0277777777777778	1	0	Male	<http://rdf.freebase.com/ns/m.0qcr0>Cancer	78	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05x8bpf	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_05x8bpf.png")	30	0.036231884057971	0.0555555555555556	-7.81777775913778	-6.30459530344933	-7.83989214013329	-7.82968085844905	-7.8382554898935	-7.73206456914458	-5.58225597678677	5	0.238888888888889	0.113888888888889	1	0	Male	<http://rdf.freebase.com/ns/m.0g02vk>Parkinson's disease	84	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05x8cpf	Richard_W._Bailey	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Richard_W._Bailey.png")	213	0.288808664259928	0.369444444444444	-7.46064842036383	-6.08634034038259	-7.64157197833357	-7.5789492761626	-7.5748068643251	-7.60260866832833	-6.33769811857119	3	0.580555555555556	0.625	0	0	Male		72	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05xd3g5	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_05xd3g5.png")	44	0.0444444444444444	0.0775623268698061	-7.83131814814028	-7.3897106494322	-7.8441805789328	-7.83068264464211	-7.83853993738727	-7.72009738949554	-6.77485238339929	11	0.161111111111111	0.116666666666667	0	0	Male		62	<http://rdf.freebase.com/ns/m.03j41y_>Academic
/m/05xf64_	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_05xf64_.png")	49	0.05	0.0858725761772853	-7.78188358539989	-5.53291922608646	-7.83310873554829	-7.80771884894667	-7.83679348976037	-6.74884840687743	-5.09058364596063	1	0.0555555555555556	0.0305555555555556	1	0	Female	<http://rdf.freebase.com/ns/m.0qcr0>Cancer	67	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05x_fz_	Robert_Trotter	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Robert_Trotter.png")	17	0.0194444444444444	0.0277008310249307	-7.8466440301539	-6.93694441785495	-7.85720146201487	-7.85543952474683	-7.85600661088162	-7.83917088605681	-7.80679024447878	7	0.347222222222222	0.263888888888889	0	0			83	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05xglj8	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_05xglj8.png")	93	0.155988857938719	0.102493074792244	-7.6511377687149	-6.62899882330318	-7.75773397409763	-7.7887264360203	-7.82458157997775	-6.75278338306146	-6.0682259692373	4	0.0638888888888889	0.0388888888888889	1	0	Female	<http://rdf.freebase.com/ns/m.04p3w>Lung cancer	73	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05xjbr	David_Landes	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/David_Landes.png")	89	0.0972222222222222	0.149584487534626	-7.73854889698739	-6.95085899696923	-7.83037608800392	-7.79867622154265	-7.81520163856989	-7.60181823462411	-6.91453455363874	26	0.183333333333333	0.105555555555556	0	0	Male		89	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05xjh47	NA	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/NA_05xjh47.png")	50	0.0666666666666667	0.07202216066482	-7.79973064086026	-6.94181200547557	-7.83932088136276	-7.83590598735417	-7.83810805879178	-7.79940291053304	-7.50057914948109	25	0.272222222222222	0.147222222222222	0	0	Male		84	<http://rdf.freebase.com/ns/m.02kl65h>Award Winner
/m/05xldz_	Madanjeet_Singh	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Madanjeet_Singh.png")	18	0.0166666666666667	0.0332409972299169	-7.84482252186832	-6.80683755079775	-7.85492992054853	-7.84037401655949	-7.86001144098976	-7.14245350761607	-6.16424355264254	1	0.0222222222222222	0.0222222222222222	1	0	Male	<http://rdf.freebase.com/ns/m.02y0js>Stroke	89	<http://rdf.freebase.com/ns/m.01xryvt>Author
/m/05xpb9	John_Downie	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/John_Downie.png")	95	0.119444444444444	0.14404432132964	-7.70065177736998	-6.87086858191285	-7.79735166648946	-7.79723521066382	-7.81254535429503	-7.30397129454635	-6.49079920857713	0	0.508333333333333	0.0722222222222222	0	0	Male		88	<http://rdf.freebase.com/ns/m.01xljr7>Football player
/m/05xqly	Jeanne_Cooper	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Jeanne_Cooper.png")	587	0.716666666666667	0.911357340720222	-6.75501173680378	-5.5634509879381	-7.22920336725347	-6.95642758992363	-7.09136940293029	-4.85757967711318	-3.69231289941389	0	0.152777777777778	0.111111111111111	1	0	Female	<http://rdf.freebase.com/ns/m.0gzv0>Chronic Obstructive Pulmonary Disease	85	<http://rdf.freebase.com/ns/m.01xrzlq>TV Actor
/m/05xr39	Brian_Greenhoff	=image("http://infolab.stanford.edu/~west1/death/mention_freq_curves/TWITTER/Brian_Greenhoff.png")	260	0.297222222222222	0.42382271468144	-7.50518763280988	-6.255604549076	-7.67876828462941	-7.57483226669574	-7.66099065143629	-5.34381913773935	-4.12425331068972	0	0.105555555555556	0.0416666666666667	0	0	Male		60	<http://rdf.freebase.com/ns/m.01xljr7>Football player
